Date,Time,Weather,Transect,Species,Count,Distance
20/01/2017,15:30,Sunny,T1,Grey Squirrel,2,15
20/01/2017,15:31,Sunny,T1,Grey Squirrel,1,5
20/01/2017,15:31,Sunny,T1,Grey Squirrel,2,8
20/01/2017,16:05,Sunny/dusk,T2,Brown Hare,1,30
20/01/2017,16:12,Sunny/dusk,T3,Brown Hare,1,20
