Date,Time,Weather,Transect,Species,Count,Distance
31/01/2017,16:49,light drizzle,LT5,squirrel,1,15
31/01/2017,17:17,light drizzle,LT1,fox,1,5
31/01/2017,17:34,cloudy,LT3,brown rat,1,5
