Date,Time,Weather,Transect,Species,Count,Distance
27/01/2017,12:40,"Cold, overcast",T1,Domestic Cat,1,10
30/01/2017,12:55,Cloudy,T2,Dometic Cat,1,40
30/01/2017,12:55,Cloudy,T2,Dometic Cat,1,10
30/01/2017,12:55,Cloudy,T2,Dometic Cat,1,5
