Date,Time,Weather,Transect,Species,Count,Distance
24/01/2017,15.15,Cloudy,Transect 1,Grey Squirrel,2,2
24/01/2017,15.15,Cloudy,Transect 1,Grey Squirrel,1,4
24/01/2017,15.15,Cloudy,Transect 1,Grey Squirrel,1,6
24/01/2017,15.35,Cloudy,Transect 2 ,Grey Squirrel,1,3
24/01/2017,15.45,Cloudy,Transect 3,Grey Squirrel,1,5
24/01/2017,15.45,Cloudy,Transect 3,Grey Squirrel,1,6
24/01/2017,15.55,Cloudy,Transect 4,Grey Squirrel,3,3
24/01/2017,15.55,Cloudy,Transect 4,Grey Squirrel,4,4
24/01/2017,15.55,Cloudy,Transect 4,Grey Squirrel,1,1
