Date,Time,Weather,Transect,Species,Count,Distance,Observer,Any other comments
02/02/2017,3:30pm,"Cloudy, windy ",T1,Pheasent ,2,30,Bethany,Did see something else move couldn't work out if a squirrel or rabbit as moved away too quick
020/02/2017,3:33pm,"Cloudy, windy ",T1,Pheasent ,1,30,Bethany,
