Date,Time,Weather,Transect,Species,Count,Distance,Observer,Any other comments
02/06/2017,12:10,Cloudy,T4,Grey Squirrel,1,40,Yuma,
02/06/2017,12:25,Cloudy,T1,Rabbit,1,25,Dixie,
02/06/2017,12:30,Cloudy,T2,Grey Squirrel,4,40,"Emily, Zoe, Yuma",
02/06/2017,12:45,Cloudy,T3,Grey Squirrel,1,10,Yuma,
