Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
several,,Clear/sunny,Mole,mole hill,SX8710558321,Human site,suburban,grass lawn,All team,stu collier,
10/03/2017,15:00,clear/sunny,Rabbit,Faeces ,SX8708358303,Human site,suburban,Garden,Laura Roberts,stu collier,enclosured garden
10/03/2017,15:30,Clear/sunny,Rabbit,Faeces ,SX8730958614,Open Land,wildlife area,mixed vegetation,Laura Roberts,stu collier,
