Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/03/2017,15:24,sunny,Field vole,droppings and feeding signs ,"57.174492, -2.105317",Woodland,Mixed,Moderate field layer,Cristin,Rebecca,
01/03/2017,16:41,sunny,Roe Deer,droppings,"57.176115, -2.098068",Woodland,Mixed,Sparse field layer,Rebecca,Cristin,
01/03/2017,16:45,sunny,rabbit,burrow,"57.175968, -2.097922",Woodland,Mixed,Sparse field layer,Rebecca,Cristin,
09/03/2017,15:11,Sunny,Roe Deer,droppings,"57.177096, -2.101849",Woodland,Mixed,Sparse field layer,Rebecca,Cristin,
11/03/2017,07:52,cloudy,otter,tracks,"57.176570, -2.098667",waterbodies,river,low banks,Rebecca,Cristin,
12/03/2017,20:51,"mild, slightly windy",badger,tree scraping,"57.177331, -2.109218",Woodland,Mixed,Moderate field layer,Rebecca,Cristin,
16/03/2017,12:48,"sunny, showers",otter,tracks,"57.176570, -2.098667",waterbodies,river,low banks,Rebecca,Cristin,
