Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/03/2017,1pm,cloudy,mole,Emergence (mole hill),SU 74107 72071,Human site,Urban,Garden,Arron,,5 mole hills
08/03/2017,11am,Sunny,mole,Emergence (mole hill),SU 73855 72160,Open land,Meadow,Low disturbance,Arron,,10 mole hills
