Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
05/02/2017,09:11,overcast,Roe Deer,droppings,"57.173948, -2.099341",Woodland,Mixed,Sparse field layer,Mairi,Cristin,
07/02/2017,13:40,heavy rain,mole, molehill,"57.176609, -2.100484",Woodland,Mixed,Sparse field layer,Rebecca,Cristin,
24/02/2017,13:50,sunny,otter ,footprint,"57.176545, -2.098639",waterbody,river,low banks (sandy),Rebecca,Cristin,
24/02/2017,13:51,Sunny,Roe Deer,footprint,"57.176490, -2.098564",waterbody,river,low banks (sandy),Rebecca,Cristin,
