Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
17/02/2017,17:15,Cloudy ,Mouse ,Burrow,NY405556,Woodland,Mixed,Moderate shrub layer,Hannah,Sophie,
23/02/2017,13:38,Sunny,Mole,Mole hill,NY414553,Human site,Suburban,Recreational area,Ruth ,Jason,
