Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
28/02/2017,14:20,Sunny,Roe Deer ,Tracks ,,Woodland ,Coniferous ,Sparse Shrub Layer ,RT,Uni Staff,
28/02/2017,14:45,Sunny,Roe Deer ,Faeces ,,Woodland ,Coniferous ,Sparse Shrub Layer ,RT,Uni Staff,
28/02/2017,15:20,Sunny,Roe Deer ,Tracks and faeces ,,Woodland ,Coniferous ,Sparse Shrub Layer ,RT,Uni Staff,
28/02/2017,15:25,Sunny,Mole ,Molehill,NS 38046 95841,Human Site ,Rural,Recreational Area ,RT,Uni Staff,
