Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
06/04/2017,Standard walk,SW1,,"57.172535, -2.103433",Waterbodies,River,Fast running
11/04/2017,Standard walk,SW2,,"57.172535, -2.103434",Waterbodies,River,Fast running
28/04/2017,Standard walk,SW3,,"57.172535, -2.103435",Waterbodies,River,Fast running
01/04/2017,Camera trap,Camera 1,,"57.1735883, -2.097923",Woodland,Mixed,Moderate shrub layer
01/04/2017,Camera trap,Camera 2,,"57.173894, -2.099075",Woodland,Mixed,Moderate shrub layer
