Date,Survey method,ID,Station,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3
16/01/2017,Camera trap,Camera 2 ,-,SK 69824 53016,Waterbodies,Stream,"Banks vegetated, Low banks, Slow/medium running, Near road (50m)"
16/01/2017,Camera trap,Camera 4,-,SK 69424 52496,Woodland,Broadleaved,"Moderate shrub layer, Near road (50m)"
16/01/2017,Camera trap,Camera 9,-,SK 69476 52186,Human site,Rural,"Gardens, Near road (50m)"
16/01/2017,Camera trap,Camera 10,-,SK 69622 52267,Waterbodies,Pond,"Banks vegetated, High/medium banks, Disturbed"
