Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/03/2017,17:00,02/03/2017,11:00,1,SU 74107 72071,Hedgehog,Human site,Urban,Garden,Arron,,
01/03/2017,17:00,02/03/2017,11:00,2,SU 74107 72071,Mouse,Human site,Urban,Garden,Arron,,
02/03/2017,17:30,03/03/2017,09:40,2,SU 74107 72071,Hedgehog & mice,Human site,Urban,Garden,Charlotte & Ollie,,
03/03/2017,18:00,04/03/2017,10:00,2,SU 74107 72071,Hedgehog,Human site,Urban,Garden,Ollie,,
08/03/2017,19:00,09/03/2017,09:00,1,SU 74107 72071,Hedgehog,Human site,Urban,Garden,Arron,,
14/03/2017,14:00,15/03/2017,09:00,1,SU 74107 72071,Mouse & Hedgehog,Human site,Urban,Garden,Charlotte   ,,
14/03/2017,14:00,15/03/2017,09:00,2,SU 74107 72071,Hedgehog,Human site,Urban,Garden,Ollie,,
