Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
08-Mar,16:00,09-Mar,07:30,1,SU 7359 7132,Rat,Human Site,Suburban,"Disused, Near road (50m)",Team,Phil Baker,
08-Mar,16:00,09-Mar,07:30,2,SU 7377 7132,Hedgehog,Human Site,Suburban,Gardens,Team,Phil Baker,
