Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
13/03/2017,10:30,15/03/2017,12:30,2,SX8730458620,"domestic cat, wood mouse",open land,wildlife area,mixed vegetation,all the team,stu collier,
13/03/2017,10:30,15/03/2017,12:30,3,SX8733258600,wood mouse,open land,wildlife area,mixed vegetation,all the team,stu collier,
15/03/2017,12:00,17/03/2017,12:00,4,SX8713258282,domestic cat,Human,suburban,garden,all the team,stu collier,
15/03/2017,12:00,17/03/2017,12:30,5,SX8713658299,"Hedgehog, domestic cat",Human,suburban,garden,all the team,stu collier,
