Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
02/05/2017,12:30,"Hot, sun ",Grey squirrel,1,Alive,SU 87093 57000,Woodland; human site,Mixed; urban,"Moderate shrub layer, moderate field layer; residential",Lucy Morley,
12/05/2017,16:25,"Hot, sun ",Grey squirrel,1,Alive,SU 87093 57000,Woodland; human site,Mixed; urban,"Moderate shrub layer, moderate field layer; residential",Lucy Morley,
