Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
14/05/2017,8.45,clear,Sciurus carolinensis,1,alive,NS 56971 66905,Human sites,Urban,Residential,Niamh,
18/05/2017,8.3,clear,Sciurus carolinensis,1,alive ,NS 56971 66905,Human sites,urban,Residential,Niamh,
19/05/2017,12.15,cloudy,Sciurus carolinensis,1,alive,NS 56836 66747,Human sites,Urban,Residential,catherine,
