Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
22/03/2017,15:30,15/03/2017,14:28,1,SU 42141 14457,Dog,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,16/03/2017,02:18,1,SU 42141 14458,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,16/03/2017,04:42,1,SU 42141 14459,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,16/03/2017,05:30,1,SU 42141 14460,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,16/03/2017,15:26,1,SU 42141 14461,Cat,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,16/03/2017,23:23,1,SU 42141 14462,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,17/03/2017,01:07,1,SU 42141 14463,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,17/03/2017,16:11,1,SU 42141 14464,Squirrel,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,18/03/2017,22:55,1,SU 42141 14465,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,05:03,1,SU 42141 14466,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,16:18,1,SU 42141 14467,Squirrel,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,19/03/2017,21:16,1,SU 42141 14468,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,20/03/2017,02:55,1,SU 42141 14469,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,20/03/2017,23:01,1,SU 42141 14470,Fox,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,21/03/2017,04:15,1,SU 42141 14471,Cat,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,21/03/2017,06:48,1,SU 42141 14472,Squirrel,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,22/03/2017,12:43,1,SU 42141 14473,Squirrel,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,22/03/2017,13:01,1,SU 42141 14474,Squirrel,1,Wooded area,Urban,Residential area,,,
22/03/2017,15:30,15/03/2017,08:19,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,11:57,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,12:26,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,14:10,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,09:17,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,11:50,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17/03/2017,10:24,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17/03/2017,10:41,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17/03/2017,11:34,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17/03/2017,11:44,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17/03/2017,13:54,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,16:02,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,08:29,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,05:34,1,SU 42252 15264,Fox,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,06:58,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,07:40,1,SU 42252 15264,Roe Deer,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,08:03,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,07:23,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,11:09,1,SU 42252 15264,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,14/03/2017,17:35,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,14/03/2017,17:48,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,14/03/2017,17:59,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,14/03/2017,18:31,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,02:15,1,SU 42176 15239,Hedgehog,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,07:04,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,08:00,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,08:18,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,08:24,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,10:36,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,12:39,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,12:42,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,13:19,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,13:47,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,16:42,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,17:01,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,17:15,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,15/03/2017,17:22,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,08:02,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,08:05,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,10:30,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,11:20,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,12:02,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,12:27,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,12:29,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,13:20,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,14:11,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,14:12,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,16/03/2017,16:18,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17:03/2017,09:40,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17:03/2017,10:48,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17:03/2017,12:05,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17:03/2017,12:09,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17:03/2017,12:14,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17:03/2017,12:36,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17:03/2017,13:43,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17:03/2017,14:06,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17/03/2017,17:00,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,17/03/2017,17:34,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18:03/2017,07:28,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18:03/2017,08:20,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18:03/2017,08:42,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18:03/2017,08:58,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18:03/2017,09:07,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,10:26,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,10:28,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,11:09,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,14:16,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,14:30,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,14:40,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,14:42,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,15:15,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,15:17,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,16:02,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,18/03/2017,16:25,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,08:01,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,08:21,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,08:34,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,08:51,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,08:58,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,10:39,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,11:42,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,11:45,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,12:01,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,12:22,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,14:17,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,14:48,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,15:18,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,15:54,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,16:52,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,19/03/2017,21:06,1,SU 42176 15239,Cat,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,08:02,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,08:08,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,14:53,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,15:31,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,16:19,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,17:13,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,20/03/2017,17:17,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
22/03/2017,15:30,21/03/2017,07:18,1,SU 42176 15239,Squirrel,1,Wooded area,Mixed,Sparse shrub layer,,,
