"","Category","x"
"1","att",29
"2","bba",7
"3","brb",33
"4","bri",6
"5","cwi",1
"6","fff",17
"7","gua",12
"8","gun",13
"9","hba",10
"10","hhe",20
"11","hot",4
"12","kpl",9
"13","mam",1
"14","mdb",22
"15","nbm",35
"16","pft",15
"17","psa",5
"18","rum",27
"19","sdc",19
"20","smw",21
"21","suc",8
"22","tbt",10
"23","tcw",5
"24","tma",5
"25","tmo",9
"26","tns",8
"27","tpa",8
"28","tsu",18
"29","uog",6
"30","wwa",14
