Date,Time,Weather,Transect,Species,Count,Distance,Observer,Any other comments
09/04/2017,2pm,Sunny,1,Squirrel,9,3m,Ollie  ,
12/04/2017,4pm,Cloudy,10,Brown rat,1,1m,Charlotte,
26/04/2016,9pm,Overcast,3,Brown rat,2,2m,Ollie & Sean,
26/04/2017,9.30 pm,Overcast,8,Hedgehog,1,3m,Ollie & Sean,
30/04/2017,8.30pm,Lightly raining,10,Brown rat,2,1m,Charlotte,
