Date,Time,Weather,Trap number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Supervisor,Any other comments
15/03/2017,06:30,sunny,5,"57.176800, -2.101014",Wood mouse,human site,suburban,residential ,Rebecca,Cath Dennis,
15/03/2017,06:44,sunny,9,"57.176401, -2.100953",Bank vole,human site,suburban,residential ,Rebecca,Cath Dennis,
