Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
19-Feb,1030,Clear,Grey Squirrel,1,Alive,SK334376,Human Site,Suburban,Municipal Park,Ilse Sijtsma,
27/02/2017,1400,Clear,Grey Squirrel,2,Alive,SK334376,Human Site,Suburban,Municipal Park,Luke Bamforth,
