Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
01/02/2017,16:03,Cold,Cat,1,Alive,NY410554,Woodland ,Mixed,Semi-natural,Hannah,Ginger and white
03/02/2017,11:45,Sunny,Cat,1,Alive,NY409555,Human site,Ubran,On pavement by road,Hannah ,Ginger 
03/02/2017,13:00,Sunny,Weasel,1,Alive,NY410559,Open Land,Farmland,Grazed with medium disturbance from people,Sophie,Its also used by the public as a park 
06/02/2017,14:09,Cloudy,Cat,1,Alive,NY409555,Human site,Urban,Near road,Ruth,Black
24/02/2017,10:17,Cloudy,Cat,1,Alive,NY409555,Human site,Urban,Near road,Ruth,Black
