Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
14/02/2017,14:30,Fair,Rabbit,4,Alive,SW 7634 9363,Human site,Rural,"Hedgerow with trees, medium disturbance",AG,
19/02/2017,12:38,fair/rain,rabbit,1,Alive,SW 7734 2162,human site,rural,municipal park/recreational area,GH/AG,
19/02/2017,12:51,fair/rain,grey squirrel,1,Alive,SW 7734 4797,woodland,broadleaves,"semi-natural, near road, moderate shurb layer",GH/AG,
