Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
08/02/2017,8.21,Raining,Grey Squirrel ,1,Alive,SS 62846 91613,Waterbodies,Pond,"Near road (50m), Low banks, Flat",Hannah Cole,
08/02/2017,10.15,Raining,Grey Squirrel ,2,Alive,SS 62943 91725,Woodland ,Mixed,"Sparse shrub layer, Near road (50m), Semi-natural",Kate Weston,
09/02/2017,15.3,Mild,Cat,1,Alive,SS 62877 92096,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer",Samantha Purton,
13/02/2017,14.5,Sun,Grey Squirrel ,4,Alive,SS 63081 92220,Woodland,Broadleaved,"Moderate shrub layer, moderate field layer",Samantha Purton,
20/02/2017,15.4,Mild,Cat,1,Alive ,SS 62802 91578,Waterbodies,Pond,"Near road (50m), Low banks, Flat",Kate Weston,
22/02/2017,13.11,Raining,Grey Squrrel,3,Alive ,SS 62877 92187,Woodland,Broadleaved,"Dense shrub layer, moderate field layer",Hannah Cole,
