Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
24/02/2017,05:00,27/02/2017,06:00,1,SU 74035 72111,Rat,Human site,Urban,Garden,"Charlotte, George & Sean",,
24/02/2017,05:00,27/02/2017,06:00,1,SU 74035 72111,Mice,Human site,Urban,Garden,"Charlotte, George & Sean",,
24/02/2017,05:00,27/02/2017,06:00,1,SU 74035 72111,Hedgehog,Human site,Urban,Garden,"Charlotte, George & Sean",,Pictures attached for all
24/02/2017,05:00,27/02/2017,06:00,2,SU 73989 72138,Mice,Human site,Urban,Garden,"Charlotte, George & Sean",,
