Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
20/02/2017,11:30,24/02/2017,10:30,1,SX8730758649,Badger,woodland,mixed,sparse shrubs,all the team,stu collier,
20/02/2017,11:30,24/02/2017,10:30,2,SX8730458620,domestic cat,open land,wildlife area,mixed vegetation,all the team,stu collier,
20/02/2017,11:30,24/07/2017,10:30,3,SX8733258600,wood mouse,open land,wildlife area,mixed vegetation,all the team,stu collier,
24/02/2017,16:00,28/02/2017,11:30,4,SX8713258282,domestic cat,Human,suburban,garden,all the team,stu collier,
24/02/2017,16:00,28/02/2017,11:30,5,SX8713658299,rabbit,Human,suburban,garden,all the team,stu collier,
24/02/2017,16:00,28/02/2017,11:30,5,SX8713658299,Hedgehog,Human,suburban,garden,all the team,stu collier,
