Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Method,Any other comments
12/03/2017,22:03,"mild, slightly windy",common pipistrelle ,1,alive,"57.170909, -2.104800",woodland,mixed,near river,Rebecca ,bat detector,
12/03/2017,22:14,"mild, slightly windy",Soprano pipistrelle,1,alive,"57.171603, -2.104033",woodland,mixed,near river,Rebecca ,bat detector,
01/03/2017,22:15,"mild, slightly windy",common pipistrelle ,1,alive,"57.173511, -2.103561",woodland,mixed,near river,Rebecca ,bat detector,
