Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
21/3/17,09:00,Sunny,Grey Squirrel,2,Alive,SU 98816 50366,Waterbody,Lake,"Near railway, low disturbance",Emily,
21/3/17,09:20,Sunny,Grey Squirrel,2,Alive,SU 98770 49994,Human site,Suburban,"Recreational ground, hedgerow with trees",Zoe,
