Date,Time,Weather,Trap number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Supervisor,Any other comments
06/04/2017,14:21,sunny,8,"57.176805, -2.101011",Bank vole,human site,suburban,residential ,Jen,Cath Dennis,
06/04/2017,14:29,sunny,12,"57.176889, -2.101215",Bank vole,human site,suburban,residential ,Jen,Cath Dennis,
06/04/2017,14:33,,17,"57.176890, -2.101312",Woodmouse ,human site,suburban,residential ,Jen,Cath Dennis,
