Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
26/01/2017,10:02,31/01/2017,12:58,1,"57.1762227, -2.0981231",Fox,2,Waterbodies,River,High/medium banks,Rebecca,Cristin,
,,,,,,Roe Deer,1,,,,,,
,,,,,,,,,,,,,
26/01/2017,10:34,31/01/2017,13:14,2,"57.173990, -2.099021",Fox,1,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
,,,,,,,,,,,,,
26/01/2017,10:47,31/01/2017,13:19,3,"57.173875,-2.099739",Fox,1,Woodland,Mixed,Moderate shrub layer,Rebecca,Cristin,
