Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
30/01/2017,13:00,Cloudy,Field Mouse ,1,Alive ,NY408554,Human site,Suburban,"Municipal park, Gardens, Near road ",Ruth ,Species was not confirmed
30/01/2017,15:23,Cloudy,Cat,1,Alive ,NY409555,Human site,Suburban,Gardens,Sophie,Black 
31/01/2017,14:00,Rain,Cat,1,Alive ,NY409555,Human site,Suburban,Road,Ruth ,Grey  tabby with white abdomen 
