Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
24th,7pm,25th,10am,1,SU 74001 72133,Hedgehog and mouse,Human site,Urban,Garden,Arron,,
29th,8pm,30th,9.30am,1,SU 74001 72133,Hedgehog and mouse,Human site,Urban,Garden,Sean & Charlotte ,,
