Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
17/05/2017,12:15,22/05/2017,15:00,3,SO945230,Brown rat,Human site,Suburban,"Residential, Gardens, near road",Tom,Isaac,
22/05/2017,16:00,25/05/2017,12:00,3,SO945231,Domestic cat,Human site,Suburban,"Residential, Gardens, near road",Isaac,Tom,
