"","Species","latin","Date","Time","Weather","Type.of.sign","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Confirmed.by","Any.other.comments","team","loc","month"
"48","Mole","Talpa europaea","23-Feb","15:51","Storm Doris ","Mole hill","SU 7473 7207","Woodland","Mixed","Sparse/no shrub layer, Near road (50m)","Sophie and Steph",NA,NA,"pft","read","feb"
"49","Mole","Talpa europaea","23-Feb","15:56","Storm Doris ","Mole hill","SU 7382 7188","Human Site","Suburban","Municipal park/recreational area","Sophie and Steph",NA,NA,"pft","read","feb"
"50","Mole","Talpa europaea","23-Feb","15:56","Storm Doris ","Mole hill","SU 7383 7192","Human Site","Suburban","Municipal park/recreational area","Sophie and Steph",NA,NA,"pft","read","feb"
"51","Mole","Talpa europaea","23-Feb","15:56","Storm Doris ","Mole hill","SU 7386 7196","Human Site","Suburban","Municipal park/recreational area","Sophie and Steph",NA,NA,"pft","read","feb"
"52","Mole","Talpa europaea","23-Feb","15:56","Storm Doris ","Mole hill","SU 7387 7183","Human Site","Suburban","Municipal park/recreational area","Sophie and Steph",NA,NA,"pft","read","feb"
"53","Mole","Talpa europaea","01/02/2017","12pm","cloudy and lightly raining","Emergence (Mole hill","SU 73532 72256","Human site","Suburban","Municipal park/recreational area, High/medium disturbance from people ","Ollie",NA,"60 mole hills ","rum","read","feb"
"54","Mole","Talpa europaea","15/02/2017","12.20pm","Bright skies","Emergence (Mole hill","SU 73822 72141","Open land","Meadow","Medium disturbance from people",NA,NA,NA,"rum","read","feb"
"55","Mole","Talpa europaea","several",NA,"Damp/light rain","mole hill","SX8710558321","Human site","suburban","grass lawn","Kelsey Flyn","stu collier",NA,"sdc","sdev","feb"
"56","Mole","Talpa europaea","several",NA,"Damp/light rain","mole hill","SX8719158363","Human site","suburban","grazing paddock","all","stu collier","small paddock on our animal site","sdc","sdev","feb"
"57","Mole","Talpa europaea","several",NA,"Clear/sunny","mole hill","SX8710558321","Human site","suburban","grass lawn","All team","stu collier",NA,"sdc","sdev","mar"
"58","Mole","Talpa europaea","20/02/2017","12:05","Drizzle ","Mole hill","SD 49087 56996","Woodland","Broadleaved","Moderate shrub layer, dense field layer","Matt ",NA,NA,"tbt","lanc","feb"
"59","Mole","Talpa europaea","20/02/2017","12:45","Overcast ","Mole hill","SD 48339 57352","Woodland","Open land","Other field boundary (woodland to field margin)","Matt ",NA,NA,"tbt","lanc","feb"
"60","Mole","Talpa europaea","20/02/2017","11:14","Overcast ","Mole hill","SD 48733 55860","Open land","Farmland","Grazing","Jack",NA,NA,"tbt","lanc","feb"
"61","Mole","Talpa europaea","20/02/2017","12:30","Drizzle","Mole hill","SD 48728 56801","Open land","Farmland","Grazing","Tay",NA,NA,"tbt","lanc","feb"
"62","Mole","Talpa europaea","23/02/2017","13:38","Sunny","Mole hill","NY414553","Human site","Suburban","Recreational area","Ruth ","Jason",NA,"tmo","cumb","feb"
"63","Mole","Talpa europaea","28/01/2017","15:00","Rain","Molehill","NS 38046 95841","Human Site ","Rural","Recreational Area ","RT","Uni Staff",NA,"gun","glas","jan"
"64","Mole","Talpa europaea","20/01/2017","15:45","Sunny","Mole hill","SD 48716 57894","Open land","Farmland","Grazing","Jack","Matt",NA,"tbt","lanc","jan"
"65","Mole","Talpa europaea","21/01/2017","16:02","Sunny","Mole hill","SD 48344 57324","Open land","Farmland","Grazing","Tay","Matt",NA,"tbt","lanc","jan"
"66","Mole","Talpa europaea","22/01/2017","16:15","Sunny","Mole hill","SD 49067 57204","Open land","Farmland","Grazing","Jack","Matt",NA,"tbt","lanc","jan"
"67","Mole","Talpa europaea","13/06/2017","15:40","dry, sunny","mole hills","SK 6983 5129","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL",NA,NA,"brb","nott","jun"
"68","Mouse","Murinae sp.","17/02/2017","17:15","Cloudy ","Burrow","NY405556","Woodland","Mixed","Moderate shrub layer","Hannah","Sophie",NA,"tmo","cumb","feb"
"69","Mouse","Murinae sp.","23/02/2017","09:17","Sunny","Hole","NY407556","Human site","Suburban","Recreational area","Jason","Ruth",NA,"tmo","cumb","mar"
"70","Mouse","Murinae sp.","31/03/2017","16:34","Cloudy ","Noise","NY405556","Open Land","Farmland","Grazed with medium disturbance from people","Ruth ","Sophie",NA,"tmo","cumb","mar"
"71","Rabbit","Oryctolagus cuniculus","24/02/2017","12:00","Damp/light rain","Faeces ","SX8730958614","Open Land","wildlife area","mixed vegetation","Kelsey Flyn","stu collier",NA,"sdc","sdev","feb"
"72","Rabbit","Oryctolagus cuniculus","06/02/2017","07:52","Ground frost, light fog -1","Rabbit Hole and Droppings","SO 7840223284","Open land","Farmland","Hedgerow with trees","Katie","Becky",NA,"hhe","hart","feb"
"73","Rabbit","Oryctolagus cuniculus","06/02/2017","08:53","Ground frost, light fog -1","Droppings","SO 78699 22826","Human site","Rural","Disused gardens near road (50m)","Becky","Katie",NA,"hhe","hart","feb"
"74","Rabbit","Oryctolagus cuniculus","06/02/2017","14:55","Light rain","Warren, multiple entrances","SO 78438 23318","Woodland","Broadleaved","Dense shrub layer","Becky",NA,NA,"hhe","hart","feb"
"75","Rabbit","Oryctolagus cuniculus","06/02/2017",NA,"Ground frost, light fog -1","Droppings and pawprint ","SO 79111 23113","Human site","Rural","Near road (50m)","Katie/Becky",NA,"Photo provided","hhe","hart","feb"
"76","Rabbit","Oryctolagus cuniculus","08/02/2017","13:47","Overcast","Warren, multiple entrances","SO 78422 23384","Woodland","Broadleaved","Dense shrub layer","Becky",NA,NA,"hhe","hart","feb"
"77","Rabbit","Oryctolagus cuniculus","10/02/2017","14:20","Damp/light rain","Faeces ","SX8708358303","Human site","suburban","Garden","Laura Roberts","stu collier","enclosured garden","sdc","sdev","feb"
"78","Rabbit","Oryctolagus cuniculus","10/02/2017","13:47","Overcast","Droppings","SO 78568 23266","Open land","Farmland","Grazed","Becky",NA,NA,"hhe","hart","feb"
"79","Rabbit","Oryctolagus cuniculus","13/02/2017","11:45","Dry, sunny","warren","SK 702 518","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, semi-natural","HL",NA,NA,"nbm","east","feb"
"80","Rabbit","Oryctolagus cuniculus","28/01/2017","12:15","Rain","Faeces ","NS 37494 96204","Woodland ","Coniferous ","Moderate Shrub Layer ","EP","Uni Staff",NA,"gun","glas","jan"
"81","Rabbit","Oryctolagus cuniculus","10/03/2017","15:00","clear/sunny","Faeces ","SX8708358303","Human site","suburban","Garden","Laura Roberts","stu collier","enclosured garden","sdc","sdev","mar"
"82","Rabbit","Oryctolagus cuniculus","10/03/2017","15:30","Clear/sunny","Faeces ","SX8730958614","Open Land","wildlife area","mixed vegetation","Laura Roberts","stu collier",NA,"sdc","sdev","mar"
"83","Rabbit (Oryctolagus Cuniculus)","Oryctolagus cuniculus","10-Feb",NA,"Cloudy, slight drizzle","Burrow","NJ 93650 08809","Human site","Urban","Gardens","Rea, Carla, Rebecca","Xavier Lambin","Burrow looks old and not in use any more, see picture 2","fff","aber","feb"
"84","Red fox","Vulpes vulpes","29/03/2017","14:45","Dry, overcast","footprints","SK 7035 5149","Open land","Farmland","Hedgerow with trees, high/medium disturbance, pasture","HL",NA,"Photo","brb","nott","mar"
"85","Red fox","Vulpes vulpes","29/03/2017","14:55","Dry, overcast","Faeces","SK 7014 5182","Open land","Farmland","Hedgerow with trees, high/medium disturbance, pasture","HL",NA,"Photo","brb","nott","mar"
"86","Roe Deer","Capreolus capreolus","06/04/2017","10:57","sunny","tracks","57.174428, -2.100422","Woodland","Mixed","Moderate field layer","Cristin","Rebecca",NA,"att","aber","apr"
"87","Roe Deer","Capreolus capreolus","05/02/2017","09:11","overcast","droppings","57.173948, -2.099341","Woodland","Mixed","Sparse field layer","Mairi","Cristin",NA,"att","aber","feb"
"88","Roe Deer","Capreolus capreolus","24/02/2017","13:51","Sunny","footprint","57.176490, -2.098564","waterbody","river","low banks (sandy)","Rebecca","Cristin",NA,"att","aber","feb"
"89","Roe Deer","Capreolus capreolus","28/02/2017","14:20","Sunny","Tracks ",NA,"Woodland ","Coniferous ","Sparse Shrub Layer ","RT","Uni Staff",NA,"gun","glas","feb"
"90","Roe Deer","Capreolus capreolus","28/02/2017","14:45","Sunny","Faeces ",NA,"Woodland ","Coniferous ","Sparse Shrub Layer ","RT","Uni Staff",NA,"gun","glas","feb"
"91","Roe Deer","Capreolus capreolus","28/02/2017","15:20","Sunny","Tracks and faeces ",NA,"Woodland ","Coniferous ","Sparse Shrub Layer ","RT","Uni Staff",NA,"gun","glas","feb"
"92","Roe Deer","Capreolus capreolus","28/01/2017","15:20","Rain","Tracks ","NS 37829 96354","Human Site ","Rural","Near Road ","EP","Uni Staff",NA,"gun","glas","jan"
"93","Roe Deer","Capreolus capreolus","28/01/2017","12:05","Rain","Tracks and faeces ","NS 37415 96279","Woodland ","Mixed ","Moderate Shrub Layer ","KA","Uni Staff",NA,"gun","glas","jan"
"94","Roe Deer","Capreolus capreolus","28/01/2017","13:00","Rain","Tracks and faeces ","NS 37589 96189","Woodland ","Coniferous ","Moderate Shrub Layer ","MT","Uni Staff",NA,"gun","glas","jan"
"95","Roe Deer","Capreolus capreolus","30/01/2017","15:10","Overcast ","Tracks and faeces ","NS 37911 96259","Woodland ","Coniferous ","Plantation ","RT","Uni Staff",NA,"gun","glas","jan"
"96","Roe Deer","Capreolus capreolus","30/01/2017","15:40","Overcast ","Tracks and faeces ","NS 37811 96283","Woodland ","Broadleaved ","Dense Shrub Layer ","RT","Uni Staff",NA,"gun","glas","jan"
"97","Roe Deer","Capreolus capreolus","01/03/2017","16:41","sunny","droppings","57.176115, -2.098068","Woodland","Mixed","Sparse field layer","Rebecca","Cristin",NA,"att","aber","mar"
"98","Roe Deer","Capreolus capreolus","09/03/2017","15:11","Sunny","droppings","57.177096, -2.101849","Woodland","Mixed","Sparse field layer","Rebecca","Cristin",NA,"att","aber","mar"
"99","Roe deer","Capreolus capreolus","17/02/2017","11:30","Dry, overcast","Print","SK 701 513","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, semi-natural","HL",NA,NA,"nbm","east","feb"
"100","Roe deer","Capreolus capreolus","28/06/2017","10:27","Dry, sunny with some clouds","Faeces","57.175865, -2.098684","Woodland","Mixed","Semi-natural","Jennifer","Rebecca",NA,"att","aber","jun"
"101","Roe deer","Capreolus capreolus","07/03/2017","12:30","Dry, sunny","footprints","SK 7029 5161","Open land","Farmland","Hedgerow with trees, high/medium disturbance, pasture","HL",NA,"Photo","brb","nott","mar"
"102","Roe deer","Capreolus capreolus","21/03/2017","13:05","Dry, sunny","footprints","SK 7032 5154","Open land","Farmland","Hedgerow with trees, high/medium disturbance, pasture","HL",NA,"Photo","brb","nott","mar"
"103","Roe deer","Capreolus capreolus","29/03/2017","14:30","Dry, overcast","footprints","SK 7030 5160","Open land","Farmland","Hedgerow with trees, high/medium disturbance, pasture","HL",NA,NA,"brb","nott","mar"
"104","Squirrel","Sciurus sp.","09/02/2017","13:44","Overcast","Droppings","SO 78449 23308","Woodland","Broadleaved","Sparse/no shrub layer","Becky",NA,"Photo provided - on top of an abandoned picnic table","hhe","hart","feb"
"105","badger","Meles meles","12/03/2017","20:51","mild, slightly windy","tree scraping","57.177331, -2.109218","Woodland","Mixed","Moderate field layer","Rebecca","Cristin",NA,"att","aber","mar"
"106","deer sp.","Cervidae sp.","13/06/2017","15:45","dry, sunny","tree scratching","SK 6979 5125","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL",NA,"Photo attached","brb","nott","jun"
"107","domestic cat","Felis catus","24/02/2017",NA,"damp/light rain","Faeces ","SX8733358631","Open Land","wildlife area","mixed vegetation","Laura Roberts","stu collier",NA,"sdc","sdev","feb"
"108","domestic cat","Felis catus","28/02/2017",NA,"damp/light rain","Faeces ","SX8713658298","Human site","suburban","garden","Laura Roberts","stu collier","enclosured garden","sdc","sdev","feb"
"109","mole","Talpa europaea","07/02/2017","13:40","heavy rain"," molehill","57.176609, -2.100484","Woodland","Mixed","Sparse field layer","Rebecca","Cristin",NA,"att","aber","feb"
"110","mole","Talpa europaea","01/03/2017","1pm","cloudy","Emergence (mole hill)","SU 74107 72071","Human site","Urban","Garden","Arron",NA,"5 mole hills","rum","read","mar"
"111","mole","Talpa europaea","08/03/2017","11am","Sunny","Emergence (mole hill)","SU 73855 72160","Open land","Meadow","Low disturbance","Arron",NA,"10 mole hills","rum","read","mar"
"112","otter","Lutra lutra","24/02/2017","13:50","sunny","footprint","57.176545, -2.098639","waterbody","river","low banks (sandy)","Rebecca","Cristin",NA,"att","aber","feb"
"113","otter","Lutra lutra","11/03/2017","07:52","cloudy","tracks","57.176570, -2.098667","waterbodies","river","low banks","Rebecca","Cristin",NA,"att","aber","mar"
"114","otter","Lutra lutra","16/03/2017","12:48","sunny, showers","tracks","57.176570, -2.098667","waterbodies","river","low banks","Rebecca","Cristin",NA,"att","aber","mar"
"115","rabbit","Oryctolagus cuniculus","19/02/2017","12:25","fair/rain","faeces","SW 7634 8628","open land","meadow","high/medium disturbance, hedgerow with trees, near road","GH/AG",NA,NA,"tpa","exet","feb"
"116","rabbit","Oryctolagus cuniculus","01/03/2017","16:45","sunny","burrow","57.175968, -2.097922","Woodland","Mixed","Sparse field layer","Rebecca","Cristin",NA,"att","aber","mar"
"117","vole","Arvicolinae sp.","19/02/2017","12:15","fair/rain","tunnel","SW 763 47846","open land","meadow","low disturbance, hedgerow with tree, road within 50m","GH/AG",NA,NA,"tpa","exet","feb"
