"","Date","Time","latin","Species","Weather","Transect","Count","Distance","Observer","Any.other.comments","team","loc","month"
"48","29/03/2017","16:30","Sciurus carolinensis","Grey squirrel","Overcast","3",3,"15","Max",NA,"nbm","east","mar"
"49","04/06/2017","17:15","Sciurus carolinensis","Grey squirrel","Sunny","T2",1,"2","Yuma",NA,"tsu","surr","apr"
"50","20/02/2017","11:10","Sciurus carolinensis","Grey squirrel","Overcast","T1",1,"7","Jack",NA,"tbt","lanc","feb"
"51","20/02/2017","11:12","Sciurus carolinensis","Grey squirrel","Overcast","T1",2,"20","Matt",NA,"tbt","lanc","feb"
"52","19/02/2017","11:25","Sciurus carolinensis","Grey squirrel","Cloudy, mild","5",1,"150","Issac",NA,"uog","glou","feb"
"53","04/06/2017","17:45","Sciurus carolinensis","Grey squirrel","Sunny","T3",1,"4","Yuma and Dixie",NA,"tsu","surr","apr"
"54","01/02/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 5",4,"2","Kathryn Weston",NA,"suc","swan","feb"
"55","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","2",1,"2","Samantha Purton",NA,"suc","swan","mar"
"56","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","1",3,"1m","Samantha Purton",NA,"suc","swan","jun"
"57","01/02/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 4",2,"5","Samantha Purton",NA,"suc","swan","feb"
"58","20/02/2017","11:10","Sciurus carolinensis","Grey squirrel","Overcast","T1",1,"5","Jack",NA,"tbt","lanc","feb"
"59","24/01/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 1",1,"4",NA,NA,"suc","swan","jan"
"60","20/01/2017","15:30","Sciurus carolinensis","Grey squirrel","Sunny","T1",2,"15",NA,NA,"tbt","lanc","jan"
"61","30/01/2017","11:54","Sciurus carolinensis","Grey squirrel","Overcast, cold","1",2,"30",NA,NA,"kpl","kent","jan"
"62","01/02/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 4",2,"2","Samantha Purton",NA,"suc","swan","feb"
"63","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","1",2,"3m","Samantha Purton",NA,"suc","swan","jun"
"64","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny",NA,1,"4m","Hannah Cole",NA,"suc","swan","may"
"65","20/02/2017","11:11","Sciurus carolinensis","Grey squirrel","Overcast","T1",1,"7","Tay",NA,"tbt","lanc","feb"
"66","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny",NA,3,"1m","Samantha Purton",NA,"suc","swan","apr"
"67","24/01/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 2 ",1,"3",NA,NA,"suc","swan","jan"
"68","01/02/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 1",1,"6","Hannah Cole",NA,"suc","swan","feb"
"69","01/02/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 1",2,"2","Samantha Purton",NA,"suc","swan","feb"
"70","02/06/2017","12:45","Sciurus carolinensis","Grey squirrel","Cloudy","T3",1,"10","Yuma",NA,"tsu","surr","feb"
"71","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny",NA,3,"1m","Samantha Purton",NA,"suc","swan","may"
"72","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","5",1,"1","Samantha Purton",NA,"suc","swan","mar"
"73","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","5",2,"3","Hannah Cole",NA,"suc","swan","mar"
"74","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","5",3,"5","Hannah Cole",NA,"suc","swan","mar"
"75","14/03/2017","17:26","Sciurus carolinensis","Grey squirrel","Clear","5",1,"30","Celine Clark",NA,"bba","bris","mar"
"76","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny",NA,2,"3m","Samantha Purton",NA,"suc","swan","apr"
"77","05/03/2017","11:20","Sciurus carolinensis","Grey squirrel","Light rain","5",1,"100","Tom",NA,"uog","glou","mar"
"78","05/03/2017","12:15","Sciurus carolinensis","Grey squirrel","Cloudy","T2",1,NA,"Zoe",NA,"tsu","surr","may"
"79","01/02/2017",NA,"Sciurus carolinensis","Grey squirrel","Cloudy","Transect 3",1,"4","Hannah Cole",NA,"suc","swan","feb"
"80","02/03/2017",NA,"Sciurus carolinensis","Grey squirrel","Sunny","1",2,"3","Samantha Purton",NA,"suc","swan","mar"
"81","20/03/2017","16:55","Sciurus carolinensis","Grey squirrel","Overcast","3",1,"50","Tay",NA,"tbt","lanc","mar"
"82","02/06/2017","12:10","Sciurus carolinensis","Grey squirrel","Cloudy","T4",1,"40","Yuma",NA,"tsu","surr","feb"
"83","19/03/2017","10:24","Sciurus carolinensis","Grey squirrel","Cloudy",NA,1,NA,"Leah",NA,"uog","glou","may"
