"","Date.of.deployment","Time","Date.of.collection","Time.1","Tunnel.number","Location..OS.coordinates.","latin","Species","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Confirmed.by","Any.other.comments","team","loc","month"
"31","08-Mar","16:00","09-Mar","07:30",2,"SU 7377 7132","Erinaceus europaeus","Hedgehog","Human Site","Suburban","Gardens","Team","Phil Baker",NA,"pft","read","mar"
"32","22/05/2017","15:40","23/05/2017","14:40",2,"SU 98807 49979","Erinaceus europaeus","Hedgehog","Human","Suburban","Gardens, residential, low disturbance","Zoe, Yuma and Dixie","Surrey mammal group",NA,"tsu","surr","may"
"33","02/03/2017","17:30","03/03/2017","09:40",2,"SU 74107 72071","Murinae sp.","Mouse (sp)","Human site","Urban","Garden","Charlotte & Ollie",NA,NA,"rum","read","mar"
"34","02/03/2017","17:30","03/03/2017","09:40",2,"SU 74107 72071","Erinaceus europaeus","Hedgehog","Human site","Urban","Garden","Charlotte & Ollie",NA,NA,"rum","read","mar"
"35","29th","8pm","30th","9.30am",1,"SU 74001 72133","Erinaceus europaeus","Hedgehog","Human site","Urban","Garden","Sean & Charlotte ",NA,NA,"rum","rum.","may"
"36","24th","7pm","25th","10am",1,"SU 74001 72133","Erinaceus europaeus","Hedgehog","Human site","Urban","Garden","Arron",NA,NA,"rum","rum.","may"
"37","29th","8pm","30th","9.30am",1,"SU 74001 72133","Murinae sp.","Mouse (sp)","Human site","Urban","Garden","Sean & Charlotte ",NA,NA,"rum","rum.","may"
"38","24th","7pm","25th","10am",1,"SU 74001 72133","Murinae sp.","Mouse (sp)","Human site","Urban","Garden","Arron",NA,NA,"rum","rum.","may"
"39","15/03/2017","12:00","17/03/2017","12:30",5,"SX8713658299","Felis catus","Domestic cat","Human","suburban","garden","all the team","stu collier",NA,"sdc","sdev","mar"
"40","15/03/2017","12:00","17/03/2017","12:30",5,"SX8713658299","Erinaceus europaeus","Hedgehog","Human","suburban","garden","all the team","stu collier",NA,"sdc","sdev","mar"
"41","24/02/2017","05:00","27/02/2017","06:00",1,"SU 74035 72111","Murinae sp.","Mouse (sp)","Human site","Urban","Garden","Charlotte, George & Sean",NA,NA,"rum","read","feb"
"42","24/02/2017","05:00","27/02/2017","06:00",2,"SU 73989 72138","Murinae sp.","Mouse (sp)","Human site","Urban","Garden","Charlotte, George & Sean",NA,NA,"rum","read","feb"
"43","24/02/2017","10:30","28/02/2017","13:00",1,"51.91369126, -2.3125806","Murinae sp.","Mouse (sp)","Open Land","Unimproved","Other field boundary, low disturbance, near road","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"44","24/02/2017","10:35","28/02/2017","13:00",4,"51.917071, -2.309450","Murinae sp.","Mouse (sp)","Open Land","Meadow","Hedgerow with trees, high/ medium disturbance from people, ","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"45","24/02/2017","11:35","28/02/2017","13:00",6,"51.91917172, -2.30841689","Murinae sp.","Mouse (sp)","Woodland","Broadleaved","Dense shrub layer, moderate field layer","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"46","24/02/2017","11:30","28/02/2017","13:00",5,"51.91921378, -2.30843921","Murinae sp.","Mouse (sp)","Woodland","Broadleaved","Dense shrub layer, moderate field layer","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"47","08/02/2017","09:33","15/02/2017","11:00",1,"51.91369126, -2.3125806","Murinae sp.","Mouse (sp)","Open Land","Unimproved","Other field boundary, low disturbance, near road","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"48","08/02/2017","10:30","15/02/2017","11:00",5,"51.91921378, -2.30843921","Murinae sp.","Mouse (sp)","Woodland","Broadleaved","Dense shrub layer, moderate field layer","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"49","08/02/2017","10:00","15/02/2017","11:00",3,"51.91746393, -2.31008366","Murinae sp.","Mouse (sp)","Open Land","Meadow","Hedgerow with trees, high/ medium disturbance from people, ","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"50","08/02/2017","10:10","15/02/2017","11:00",4,"51.917071, -2.309450","Murinae sp.","Mouse (sp)","Open Land","Meadow","Hedgerow with trees, high/ medium disturbance from people, ","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"51","08/02/2017","10:05","15/02/2017","11:00",6,"51.91917172, -2.30841689","Murinae sp.","Mouse (sp)","Woodland","Broadleaved","Dense shrub layer, moderate field layer","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"52","01/03/2017","17:00","02/03/2017","11:00",2,"SU 74107 72071","Murinae sp.","Mouse (sp)","Human site","Urban","Garden","Arron",NA,NA,"rum","read","mar"
"53","08/02/2017","09:45","15/02/2017","11:00",2,"51.91481938, -2.30911654","Murinae sp.","Mouse (sp)","Open Land","Farmland","Hedgerow without trees, low disturbance, road near","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"54","24/02/2017","10:45","28/02/2017","13:00",2,"51.91481938, -2.30911654","Murinae sp.","Mouse (sp)","Open Land","Farmland","Hedgerow without trees, low disturbance, road near","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"55","24/02/2017","11:00","28/02/2017","13:00",3,"51.91746393, -2.31008366","Murinae sp.","Mouse (sp)","Open Land","Meadow","Hedgerow with trees, high/ medium disturbance from people, ","Alice + James","Lucy Bearman - Brown",NA,"uog","glou","feb"
"56","14/03/2017","14:00","15/03/2017","09:00",1,"SU 74107 72071","Murinae sp.","Mouse (sp)","Human site","Urban","Garden","Charlotte   ",NA,NA,"rum","read","mar"
"57","14/04/2017","5pm","15/04/2017","9am",1,"SU 74107 72071","Murinae sp.","Mouse (sp)","Human site","Urban","Garden","Arron",NA,NA,"rum","rum.","apr"
"58","19/04/2017","3pm","20/04/2017","11am",1,"SU 74107 72071","Murinae sp.","Mouse (sp)","Human site","Urban","Garde","Ollie",NA,NA,"rum","rum.","apr"
"59","18/04/2017","6pm","19/04/2017","10.30am",1,"SU 74107 72071","Murinae sp.","Mouse (sp)","Human site","Urban","Garden","Sean & Charlotte",NA,NA,"rum","rum.","apr"
"60","14/03/2017","14:00","15/03/2017","09:00",1,"SU 74107 72071","Erinaceus europaeus","Hedgehog","Human site","Urban","Garden","Charlotte   ",NA,NA,"rum","read","mar"
"61","14/04/2017","5pm","15/04/2017","9am",1,"SU 74107 72071","Erinaceus europaeus","Hedgehog","Human site","Urban","Garden","Arron",NA,NA,"rum","rum.","apr"
"62","19/04/2017","3pm","20/04/2017","11am",1,"SU 74107 72071","Erinaceus europaeus","Hedgehog","Human site","Urban","Garde","Ollie",NA,NA,"rum","rum.","apr"
"63","18/04/2017","6pm","19/04/2017","10.30am",1,"SU 74107 72071","Erinaceus europaeus","Hedgehog","Human site","Urban","Garden","Sean & Charlotte",NA,NA,"rum","rum.","apr"
"64","24/02/2017","16:00","28/02/2017","11:30",5,"SX8713658299","Oryctolagus cuniculus","Rabbit","Human","suburban","garden","all the team","stu collier",NA,"sdc","sdev","feb"
"65","24/02/2017","05:00","27/02/2017","06:00",1,"SU 74035 72111","Rattus norvegicus","Brown rat","Human site","Urban","Garden","Charlotte, George & Sean",NA,NA,"rum","read","feb"
"66","08-Mar","16:00","09-Mar","07:30",1,"SU 7359 7132","Rattus norvegicus","Brown rat","Human Site","Suburban","Disused, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"67","20/02/2017","11:30","24/07/2017","10:30",3,"SX8733258600","Apodemus sylvaticus","Wood mouse","open land","wildlife area","mixed vegetation","all the team","stu collier",NA,"sdc","sdev","feb"
"68","13/03/2017","10:30","15/03/2017","12:30",3,"SX8733258600","Apodemus sylvaticus","Wood mouse","open land","wildlife area","mixed vegetation","all the team","stu collier",NA,"sdc","sdev","mar"
