"","Date","Survey.method","ID","Station","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","team","loc","month"
"382","31/01/2017","Line transect","LT1","1","ST 5807 7374","Human Site","Urban","Gardens, residential, near road","bba","bris","jan"
"383","31/01/2017","Line transect","LT2","2","ST 5770 7361","Human Site","Urban","Gardens, residential, near road","bba","bris","jan"
"384","31/01/2017","Line transect","LT3","3","ST 5824 7332","Human Site","Urban","Park/recreational area, near road","bba","bris","jan"
"385","31/01/2017","Line transect","LT4","4","ST 5780 7330","Human Site","Urban","Gardens, residential, near road","bba","bris","jan"
"386","31/01/2017","Line transect","LT5","5","ST 5790 7303","Human Site","Urban","Park/recreational area, near road","bba","bris","jan"
"33","01/06/2017","Transect","T1","1","TG 19706 07467 - TG 19774 07542","Open land","Unimproved","High/medium disturbance from people","nbm","east","apr"
"34","01/06/2017","Transect","T2","1","TG 19613 07306 - TG 19518 07308","Open land","Meadow","High/medium disturbance from people","nbm","east","apr"
"35","01/06/2017","Transect","T3","1","TG 19115 06944 - TG 19190 06929","Woodland","Broadleaved","Sparse field layer, moderate shrub layer","nbm","east","apr"
"36","01/06/2017","Transect","T4","1","TG 18674 07492 - TG 18710 07410","Open land","Unimproved","High/medium disturbance from people, hedgerow with trees","nbm","east","apr"
"37","01/06/2017","Transect","T5","1","TG 18837 07614 - TG 18804 07711","Woodland","Broadleaved","Moderate shrub layer, dense field layer, near road","nbm","east","apr"
"159","01/02/2017","Camera trap","Camera 1","1","SK 6983 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","brb","nott","feb"
"151","01/02/2017","Camera trap","Camera 1",NA,"57.1762227, -2.0981231","Waterbodies","River","High/medium banks","att","aber","feb"
"160","01/02/2017","Camera trap","Camera 2","1","SK 6991 5189","Open land","Farmland","Crops, hedgerow with trees, low disturbance","brb","nott","feb"
"152","01/02/2017","Camera trap","Camera 2",NA,"57.173990, -2.099021","Woodland","Mixed","Moderate shrub layer","att","aber","feb"
"161","01/02/2017","Camera trap","Camera 3","1","SK 6966 5149","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, plantation","brb","nott","feb"
"153","01/02/2017","Camera trap","Camera 3",NA,"57.175950, -2.098415","Woodland","Mixed","Moderate shrub layer","att","aber","feb"
"164","01/02/2017","Camera trap","Camera 6","1","SK 7034 5153","Waterbody","Pond","Banks vegetated, low banks","brb","nott","feb"
"165","01/02/2017","Camera trap","Camera 7","1","SK 7028 5188","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, semi-natural","brb","nott","feb"
"166","01/02/2017","Camera trap","Camera 8","1","SK 7013 5170","Woodland","Broadleaved","Moderate shrub layer, moderate field layer, semi-natural","brb","nott","feb"
