"","Date","Survey.method","ID","Station","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","team","loc","month"
"220","01-Feb","Live trapping","LT1","1","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","nbm","east","feb"
"221","07-Feb","Camera trap","C1","1","TG 19085 06974","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","nbm","east","feb"
"222","7-Feb","Camera trap","C2","1","TG 19678 08057","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","nbm","east","feb"
"252","02/02/2017 - 19/02/2017","Camera Trap","1","1","SU 42252 15264","Human Site","Urban","Residential area","smw","sout","feb"
"253","02/02/2017 - Present","Camera Trap","2","1","SU 42176 15239","Woodland","Mixed","Sparse shrub layer","smw","sout","feb"
"254","02/02/2017 - Present","Camera Trap","3","1","SU 41953 14804","Woodland","Mixed","Sparse shrub layer","smw","sout","feb"
"248","05/02/2017 - Present","Live Trapping","T1","1","SU 42386 15114","Human Site","Urban, Stream","Residential, Banks vegetated, Slow running","smw","sout","feb"
"249","05/02/2017 - Present","Live Trapping","T2","1","SU 42279 15404","Woodland","Mixed","Sparse shrub layer, Near road (50m)","smw","sout","feb"
"250","05/02/2017 - Present","Live Trapping","T3","1","SU 41945 14886","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)","smw","sout","feb"
"251","05/02/2017 - Present","Live Trapping","T4","1","SU 42103 14436","Human Site","Urban","Municipal park/recreation area, near road (<50m)","smw","sout","feb"
"243","10/01/2017 - Present","Line transect","T1","2","SU 42386 15192","Human Site","Urban","Residential area, Municipal park","smw","sout","feb"
"247","10/01/2017 - Present","Line transect","T4","2","SU 42144 14498","Human Site","Urban","Municipal park/recreation area, near road (<50m)","smw","sout","feb"
"280","13/02/2017","Camera trap","C1","1","SW 7734 3498","Woodland","Broadleaved","Semi-natural, near road, moderate shrub layer","tpa","exet","feb"
"281","13/02/2017","Camera trap","C2","1","SW 7735 4200","Woodland","Broadleaved","Semi-natural, near road, moderate shrub layer","tpa","exet","feb"
"258","13/02/2017","Opportunistic","O4","4","SS 63081 92220","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","feb"
"259","20/02/2017","Opportunistic","O5","5","SS 62802 91578","Waterbodies","Pond","Near road (50m), Low banks, Flat","suc","swan","feb"
"282","14/02/2017","Camera trap","C3","1","SW 7734 1159","Woodland","Mixed","Dense shrub layer, plantation","tpa","exet","feb"
"283","14/02/2017","Camera trap","C4","1","SW 7734 3678","Woodland","Broadleaved","Moderate shrub layer, near road","tpa","exet","feb"
"284","14/02/2017","Camera trap","C5","1","SW 7634 9362","Human Site","Rural","Hedgerow with trees, high/medium disturbance from people","tpa","exet","feb"
"285","14/02/2017","Camera trap","C6","1","SW 7634 9258","Human Site","Rural","Hedgerow with trees, high/medium disturbance from people","tpa","exet","feb"
"286","19/02/2017","Line Transect","T1","1","SW 7734 0667","Human Site","Rural","Municipal park/recreational area","tpa","exet","feb"
"287","19/02/2017","Line Transect","T1","2","SW 7734 1066","Human Site","Rural","Municipal park/recreational area","tpa","exet","feb"
"288","19/02/2017","Line Transect","T1","3","SW 7734 1565","Human Site","Rural","Municipal park/recreational area","tpa","exet","feb"
"289","19/02/2017","Line Transect","T2","1","SW 7734 0261","Human Site","Sub-urban","Near road/path","tpa","exet","feb"
"290","19/02/2017","Line Transect","T2","2","SW 7734 0759","Human Site","Sub-urban","Near road/path","tpa","exet","feb"
"291","19/02/2017","Line Transect","T2","3","SW 7734 1157","Human Site","Sub-urban","Near road/path","tpa","exet","feb"
"292","19/02/2017","Line Transect","T3","1","SW 7634 7364","Open Land","Meadow","High/medium disturbance from people, hedgerow with trees, near road","tpa","exet","feb"
"293","19/02/2017","Line Transect","T3","2","SW 7634 7459","Open Land","Meadow","High/medium disturbance from people, hedgerow with trees, near road","tpa","exet","feb"
"294","19/02/2017","Line Transect","T3","3","SW 7634 7654","Open Land","Meadow","High/medium disturbance from people, hedgerow with trees, near road","tpa","exet","feb"
"295","19/02/2017","Line Transect","T4","1","SW 7634 8530","Open Land","Meadow","Low disturbance, hedgerow with trees, road within 50m","tpa","exet","feb"
"296","19/02/2017","Line Transect","T4","2","SW 7634 8625","Open Land","Meadow","Low disturbance, hedgerow with trees, road within 50m","tpa","exet","feb"
"297","19/02/2017","Line Transect","T4","3","SW 7634 8921","Open Land","Meadow","Low disturbance, hedgerow with trees, road within 50m","tpa","exet","feb"
"298","19/02/2017","Line Transect","T5","1","SW 7735 3201","Woodland","Broadleaved","Semi-natural, near road, moderate shrub layer","tpa","exet","feb"
"299","19/02/2017","Line Transect","T5","2","SW 7735 3701","Woodland","Broadleaved","Semi-natural, near road, moderate shrub layer","tpa","exet","feb"
"300","19/02/2017","Line Transect","T5","3","SW 7735 4201","Woodland","Broadleaved","Semi-natural, near road, moderate shrub layer","tpa","exet","feb"
"372","19/02/2017","Line Transect","T5","4","SO945230","Human site","Suburban","Residential, Gardens, near road","uog","glou","feb"
"373","19/02/2017","Line Transect","T6","2","SO945230","Human site","Suburban","Residential, Gardens, near road","uog","glou","feb"
"381","26/01/2017","Camera trap","Camera 3",NA,"57.173875,-2.099739","Woodland","Mixed","Moderate shrub layer","att","aber","jan"
"426","08/01/2017","Opportunistic","O1","1","SS 63277 92122","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","jan"
"425","08/01/2017","Opportunistic","O1 ","1","SS 63043 92120","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","jan"
"427","10/01/2017","Opportunistic","O2","2","SS 63041 92171","woodland","broadleaved","moderate shrub layer, sparse field layer","suc","swan","jan"
"428","10/01/2017","Opportunistic","O2","2","SS 63087 92225","Woodland","Broadleaved","moderate shrub layer, sparse field layer","suc","swan","jan"
"448","18/01/2017","Line transect","T2",NA,"SO 79542 23682","Open land","Meadow","Grazed (horses, sheep), hedgerow with trees, other field boundry, pasture ","tma","hart","jan"
"430","18/01/2017","Opportunistic","O3","3","SS 62806 92118","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","jan"
"429","18/01/2017","Opportunistic","O3","3","SS 62967 92086","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","jan"
"432","24/01/2017","Line Transect ","T1","1","SS 63190 92176","Woodland","Broadleaved","moderate shrub layer, sparse field layer","suc","swan","jan"
"431","24/01/2017","Line Transect ","T1","1","SS 63197 92183","Woodland","Broadleaved","moderate shrub layer, sparse field layer","suc","swan","jan"
"434","24/01/2017","Line Transect ","T2","2","SS 62739 92098","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","jan"
"433","24/01/2017","Line Transect ","T2","2","SS 62746 92107","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","jan"
"436","24/01/2017","Line Transect ","T3","2","SS 62934 92225","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","jan"
"435","24/01/2017","Line Transect ","T3","2","SS 62939 92233","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","suc","swan","jan"
"438","24/01/2017","Line Transect ","T4","4","SS 63137 92164","Woodland","Broadleaved","Dense shrub layer, sparse field layer","suc","swan","jan"
"437","24/01/2017","Line Transect ","T4","4","SS 63139 92173","Woodland","Broadleaved","Dense shrub layer, sparse field layer","suc","swan","jan"
"439","24/01/2017","Line Transect ","T5","5","SS 62601 91740","Woodland","Broadleaved","Moderate shrub layer, near road","suc","swan","jan"
"440","24/01/2017","Line Transect ","T5","5","SS 62606 91730","Woodland","Broadleaved","Moderate shrub layer, near road","suc","swan","jan"
"450","22/01/2017","Line transect","T3",NA,"SO 79358 23552","Open land","Meadow","Other field boundry, low distrubance","tma","hart","jan"
"509","01/03/2017 - Present","Camera Trap","4","1",NA,"Woodland","Mixed","Sparse shrub layer, near municipal parl/ recreation area","smw","sout","jun"
"510","05/06/2017","Opportunistic ","O1","1","SS 63050 91972","Human site","Rural","Near road (50m)","suc","swan","jun"
"593","05/06/2017","Bat Survey","BS1","1","SU 98784 50345","Waterbody","Lake","Recreational, vegetated borders, high disturbance","tsu","surr","jun"
"594","05/06/2017","Bat Survey","BS1","2","SU 98832 50378","Waterbody","Lake","Low disturbance, vegetated borders, hedgerows with trees","tsu","surr","jun"
"595","05/06/2017","Bat Survey","BS1","3","SU 98897 50341","Waterbody","Lake","Low disturbance, near railway, hedgerow with trees","tsu","surr","jun"
"596","05/06/2017","Bat Survey","BS1","4","SU 98896 50276","Waterbody","Lake","Near railway, near road, high disturbance","tsu","surr","jun"
"597","05/06/2017","Bat Survey","BS1","5","SU 98823 50303","Waterbody","Lake","High disturbance, recreational, trees","tsu","surr","jun"
"513","10/06/2017","Standard walk","SW1","1","SS 62679 92154","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","jun"
"514","10/06/2017","Standard walk","SW1","1","SS 62738 92188","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","jun"
"515","10/06/2017","Standard walk","SW1","1","SS 62803 92225","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","jun"
"516","10/06/2017","Standard walk","SW1","1","SS 63028 92150","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","jun"
"517","10/06/2017","Standard walk","SW1","1","SS 63190 92194","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","jun"
"511","15/06/2017","Opportunistic ","O2","2","SS 63089 92259","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","jun"
"518","26/06/2017","Standard walk","SW2","2","SS 62817 91653","Woodland","Broadleaved","Moderate Shrub layer, moderate field layer","suc","swan","jun"
"512","27/06/2017","Opportunistic ","O3","3","SS 63100 92091","Woodland","Broadleaved","Dense shrub layer, moderate field layer","suc","swan","jun"
"733","14/03/2017","Camera trap","Camera 3","1","51.919223, -2.307615","Woodland","Broadleaved","Sparse shrub layer, Sparse field layer","wwa","hart","mar"
"643","02/03/2017","Transect","T1","1","SS 62714 91745","Woodland","Mixed","Moderate shrub layer, Moderate field layer","suc","swan","mar"
"642","02/03/2017","Transect","T1","1","SS 62729 91760","Woodland","Mixed","Moderate shrub layer, Moderate field layer","suc","swan","mar"
"644","02/03/2017","Transect","T2","2","SS 62937 91704","Waterbodies","Pond","Low banks, flat, banks vegetated ","suc","swan","mar"
"645","02/03/2017","Transect","T2","2","SS 62965 91693","Waterbodies","Pond","Low banks, flat, banks vegetated ","suc","swan","mar"
"647","02/03/2017","Transect","T3","3","SS 62998 91838","Human site","Suburban","Municipal park/recreational area, near road (50m), gardens ","suc","swan","mar"
"646","02/03/2017","Transect","T3","3","SS 63014 91820","Human site","Suburban","Municipal park/recreational area, near road (50m), gardens ","suc","swan","mar"
"648","02/03/2017","Transect","T4","4","SS 62885 92142","Open land","Unimproved grassland","Medium disturbance from people, other field boundary, ","suc","swan","mar"
"649","02/03/2017","Transect","T4","4","SS 62905 92155","Open land","Unimproved grassland","Medium disturbance from people, other field boundary, ","suc","swan","mar"
"650","02/03/2017","Transect","T5","5","SS 63026 92174","Woodland","Mixed","Moderate shrub layer, Moderate field layer","suc","swan","mar"
"651","02/03/2017","Transect","T5","5","SS 63049 92183","Woodland","Mixed","Moderate shrub layer, Moderate field layer","suc","swan","mar"
"635","10/03/2017","Opportunistic","O4","1","SS 63196 92107","Woodland","Mixed","Moderate shrub layer, Dense field layer","suc","swan","mar"
"636","15/03/2017","Opportunistic","O5","2","SS 62884 91635","Waterbodies","Pond","Near road (50m), Low banks, Flat","suc","swan","mar"
"637","22/03/2017","Opportunistic","O1","3","SS 63208 92114","Woodland","Mixed","Moderate shrub layer, Moderate field layer","suc","swan","mar"
"638","22/03/2017","Opportunistic","O2","4","SS 63248 92166","Woodland","Mixed","Moderate shrub layer, Dense field layer","suc","swan","mar"
"639","22/03/2017","Opportunistic","O3","5","SS 63243 92143","Woodland","Mixed","Moderate shrub layer, Dense field layer","suc","swan","mar"
"640","31/03/2017","Opportunistic","O6","6","SS 63149 92211","Woodland","Mixed","Moderate shrub layer, Moderate field layer","suc","swan","mar"
"641","31/03/2017","Opportunistic","O7","7","SS 63133 92177","Woodland ","Mixed","Moderate shrub layer, Dense field layer","suc","swan","mar"
"732","06/03/2017","Camera trap","Camera 2","1","51.918225, -2.305151","Woodland","Broadleaved","Sparse shrub layer, Sparse field layer","wwa","hart","mar"
"739","16/05/2017","Live Trapping","T1","-","SK 69428 52497","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"740","17/05/2017","Live Trapping","T2","-","SK 69435 52493","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"741","18/05/2017","Live Trapping","T3","-","SK 69424 52494","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"742","19/05/2017","Live Trapping","T4","-","SK 69427 52489","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"743","20/05/2017","Live Trapping","T5","-","SK 69420 52490","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"744","21/05/2017","Live Trapping","T6","-","SK 69414 52488","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"762","22/05/2017","Opportunistic","O1",NA,"SS 63008 92120","Woodland","Mixed","Dense shrub layer, moderate field layer","suc","swan","may"
"763","22/05/2017","Opportunistic","O2",NA,"SS 63045 92258","Woodland","Mixed","Dense shrub layer, moderate field layer","suc","swan","may"
"745","22/05/2017","Live Trapping","T7","-","SK 69408 52484","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"759","22/05/2017","Standard Walk ","SW","1","SS 63033 92174","Woodland","Mixed","Dense shrub layer, moderate field layer","suc","swan","may"
"755","22/05/2017","Standard Walk ","SW","1","SS 63075 92177","Woodland","Mixed","Moderate shrub layer","suc","swan","may"
"756","22/05/2017","Standard Walk ","SW","1","SS 63115 92216","Woodland","Mixed","Moderate shrub layer","suc","swan","may"
"761","22/05/2017","Standard Walk ","SW","1","SS 63117 92118","Woodland","Mixed","Dense shrub layer, moderate field layer","suc","swan","may"
"760","22/05/2017","Standard Walk ","SW","1","SS 63158 92156","Woodland","Mixed","Dense shrub layer, moderate field layer","suc","swan","may"
"758","22/05/2017","Standard Walk ","SW","1","SS 63201 92204","Woodland","Mixed","Moderate shrub layer","suc","swan","may"
"757","22/05/2017","Standard Walk ","SW","1","SS 63223 92147","Woodland","Mixed","Dense shrub layer, moderate field layer","suc","swan","may"
"754","22/05/2017","Standard Walk ","SW",NA,"SS 63077 92195","Woodland","Broadleaved","Moderate shrub layer","suc","swan","may"
"746","23/05/2017","Live Trapping","T8","-","SK 69405 52477","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"747","24/05/2017","Live Trapping","T9","-","SK 69399 52478","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"764","25/05/2017","Opportunistic","O3",NA,"SS 63407 92031","Woodland","Mixed","Parkland, dense field layer","suc","swan","may"
"765","25/05/2017","Opportunistic","O4",NA,"SS 62743 92137","Woodland","Mixed","Parkland, dense field layer","suc","swan","may"
"748","25/05/2017","Live Trapping","T10","-","SK 69399 52474","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","mdb","nott","may"
"766","30/05/2017","Opportunistic","O5",NA,"SS 62874 91662","Woodland","Mixed","Near road, parkland","suc","swan","may"
