"","Date","Species","latin","Time","Weather","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Method","Any.other.comments","team","loc","month"
"224","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:15",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"225","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:39",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"226","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:09",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"227","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:15",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"228","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:51",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"229","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:10",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"230","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:44",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"231","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:32",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"232","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:01",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"233","01/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:37",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"234","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:15",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"235","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:16",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"236","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:18",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"237","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:29",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"238","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:42",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"239","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:19",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"240","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:16",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"241","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:17",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"242","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:20",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"243","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:45",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"244","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:48",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"245","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:18",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"246","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:56",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"247","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:27",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"248","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:47",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"249","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:34",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"250","12/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:53",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"251","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:19",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"252","12/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:36",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"253","12/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:25",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"254","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:49",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"255","13/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:52",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"256","13/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:10",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"257","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:20",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"258","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:20",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"259","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:21",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"260","14/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:20",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"261","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:21",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"262","15/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:26",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"263","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:38",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"264","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:22",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"265","16/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:53",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"266","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:22",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"267","16/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:19",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"268","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:23",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"269","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:23",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"270","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:23",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"271","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:23",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"272","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:44",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"273","11/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:08",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"274","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:59",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"275","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:02",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"276","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:00",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"277","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:15",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"278","17/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:45",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"279","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:25",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"280","16/05/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:20",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","may"
"281","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:26",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"282","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:26",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"283","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:26",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"284","16/05/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:28",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","may"
"285","16/05/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:34",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","may"
"286","16/05/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:35",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","may"
"287","17/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:00",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"288","17/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:05",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"289","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:54",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"290","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:27",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"291","17/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:12",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"292","16/05/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:37",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","may"
"293","17/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:29",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"294","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:28",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"295","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:28",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"296","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:28",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"297","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:28",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"298","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:05",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"299","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:29",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"300","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:29",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"301","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:29",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"302","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:40",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"303","01/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:18",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"304","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:30",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"305","16/05/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:48",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","may"
"306","31/03/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:33",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","mar"
"307","28/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:39",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"308","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:02",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"309","18/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:22",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"310","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:09",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"311","19/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:38",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"312","16/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:38",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"313","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:11",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"314","19/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:39",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"315","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:43",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"316","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:43",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"317","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:33",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"318","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:11",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"319","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:11",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"320","19/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:43",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"321","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:25",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"322","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:12",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"323","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:12",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"324","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:40",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"325","09/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:49",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"326","09/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:51",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"327","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:49",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"328","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:52",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"329","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:13",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"330","04/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:19",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"331","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:13",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"332","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:35",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"333","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:13",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"334","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:38",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"335","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:14",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"336","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:24",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"337","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:14",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"338","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:14",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"339","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:17",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"340","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:17",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"341","19/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:57",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"342","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","22:15",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"343","10/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:47",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"344","19/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:58",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"345","19/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:58",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
