"","Date","Species","latin","Time","Weather","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Method","Any.other.comments","team","loc","month"
"28","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:42",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"29","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:33",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"30","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:47",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"31","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:19",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"32","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:47",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"33","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:46",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"34","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:52",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"35","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:04",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"36","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:43",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"37","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:05",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"38","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:19",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"39","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:51",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"40","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:51",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"41","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:18",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"42","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:05",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"43","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:30",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"44","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:35",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"45","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:53",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"46","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:35",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"47","01/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:19",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"48","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:45",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"49","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:22",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"50","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:55",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"51","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:31",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"52","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:50",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"53","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:30",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"54","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:50",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"55","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:43",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"56","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:34",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"57","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:42",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"58","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:10",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"59","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:08",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"60","02/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:53",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"61","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:45",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"62","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:59",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"63","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:59",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"64","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:43",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"65","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:41",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"66","03/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:46",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"67","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:41",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"68","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","21:42",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
"69","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:47",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"70","08/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","19:47",NA,1,"Alive","SK 7044 5150","Waterbodies","Pond","Banks vegetated, high/medium banks","HL","Passive Anabat detector",NA,"brb","nott","apr"
"71","29/04/2017","Common pipistrelle bat","Pipistrellus pipistrellus","20:44",NA,1,"Alive","SK 6982 5205","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Passive Anabat detector",NA,"brb","nott","apr"
