Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
14/04/2017,5pm,15/04/2017,9am,1,SU 74107 72071,Mouse & Hedgehog,Human site,Urban,Garden,Arron,,
18/04/2017,6pm,19/04/2017,10.30am,1,SU 74107 72071,Mouse & Hedgehog,Human site,Urban,Garden,Sean & Charlotte,,
19/04/2017,3pm,20/04/2017,11am,1,SU 74107 72071,Mouse & Hedgehog,Human site,Urban,Garde,Ollie,,
