Date,Time,Weather,Transect,Species,Count,Distance,Observer,Any other comments
14/03/2017,18:19,"Mild, clear",T3,Rabbit,1,200,FV,
14/03/2017,18:20,"Mild, clear",T3,Rabbit,1,50,FV,
14/03/2017,18:25,"Mild, clear",T1,Rabbit,7,0,CD,
