Date,Time,Weather,Transect,Species,Count,Distance,Observer,Any other comments
03/07/2017,10:30,Partly cloudy,2,Grey Squirrel,3,25,Emily,
03/07/2017,10:37,Partly cloudy,2,Grey Squirrel,4,40,Emily and Yuma,
