Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Method,Any other comments
15/05/2017,21:11,clear,soprano pipistrelle,58,Alive,"57.173166, -2.103730",Woodland,Mixed,Moderate shrub layer,Rebecca,bat detector,
16/05/2017,22:11,clear,soprano pipistrelle,36,Alive,"57.173166, -2.103731",Woodland,Mixed,Moderate shrub layer,Rebecca,bat detector,
