Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
10/04/2017,11pm,11/04/2017,9am,1,SU 74107 72071,Woodmouse,1,Human site,Urban,Garden,Sean,,
12/04/2017,9pm,13/04/2017,10am,2,SU 73902 71615,Squirrel,5,Woodland,Mixed,Moderate shrub layer,Sean & Charlotte ,,
18/04/2017,10.30pm,19/04/2017,8.30am,1,SU 73902 71615,Fox ,1,Woodland,Mixed,Moderate shrub layer,Arron,,
20/04/2017,12am,21/04/2017,9am,1,SU 73671 71981,Fox ,2,Woodland,Mixed,Moderate shrub layer,Sean & Charlotte ,,
25/04/2017,10pm,26/04/2017,9am,1,SU 74107 72071,Hedgehog,1,Human site,Urban,Garden,Arron,,
