Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
4th,2pm,Sunny,Hedgehog,Scat,SU 74016 72133,Human site,Urban,Garden,,,
22nd,10am,Sunny,Hedgehog,Scat,SU 73877 72120,Openland/woodland edge,Mixed,Sparse field layer,,,
23rd,6pm,Cloudy,Hedgehog,Scat,SU 74016 72133,Human site,Urban,Garden,,,
