Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Any other comments
22/04/2017,12.3,clear,Sciurus carolinensis,2,alive,NS 56971 66905,Human sites,Urban,Residential,Niamh,
26/04/2017,16.15,clear,Sciurus carolinensis,1,alive ,NS 56971 66905,Human sites,urban,Residential,Niamh,
