Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
01/06/2017,3pm,Cloudy,Fox,Scat,SU 73836 72154,Open land,Meadow ,Low disturbance,,,
14/06/2017,1pm,Sunny,Fox,Scat,SU 73783 71253,Open land,Meadow ,"Municipal park, Gardens, Near road (50m)",,,
,,,,,,,,,,,
