Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
20/01/2017,15:45,Sunny,Mole,Mole hill,SD 48716 57894,Open land,Farmland,Grazing,Jack,Matt,
21/01/2017,16:02,Sunny,Mole,Mole hill,SD 48344 57324,Open land,Farmland,Grazing,Tay,Matt,
22/01/2017,16:15,Sunny,Mole,Mole hill,SD 49067 57204,Open land,Farmland,Grazing,Jack,Matt,
