Date,Time,Weather,Species,Type of sign,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
28/01/2017,12:05,Rain,Roe Deer ,Tracks and faeces ,NS 37415 96279,Woodland ,Mixed ,Moderate Shrub Layer ,KA,Uni Staff,
28/01/2017,12:15,Rain,Rabbit ,Faeces ,NS 37494 96204,Woodland ,Coniferous ,Moderate Shrub Layer ,EP,Uni Staff,
28/01/2017,13:00,Rain,Roe Deer ,Tracks and faeces ,NS 37589 96189,Woodland ,Coniferous ,Moderate Shrub Layer ,MT,Uni Staff,
28/01/2017,13:15,Rain,Badger ,Tracks ,NS 37571 96043,Woodland ,Broadleaved ,Moderate Shrub Layer ,RT,Uni Staff,
28/01/2017,15:00,Rain,Mole,Molehill,NS 38046 95841,Human Site ,Rural,Recreational Area ,RT,Uni Staff,
28/01/2017,15:20,Rain,Roe Deer ,Tracks ,NS 37829 96354,Human Site ,Rural,Near Road ,EP,Uni Staff,
30/01/2017,15:10,Overcast ,Roe Deer ,Tracks and faeces ,NS 37911 96259,Woodland ,Coniferous ,Plantation ,RT,Uni Staff,
30/01/2017,15:40,Overcast ,Roe Deer ,Tracks and faeces ,NS 37811 96283,Woodland ,Broadleaved ,Dense Shrub Layer ,RT,Uni Staff,
